Last Name,Second Names,Nickname,First Name,Title,Image,Image source,Image License,Relationship,Include,Birth,Death,Biography,Priory Guests,Date of First Meeting,Context of First Meeting,Frequency of Contact,McCormack,Rignall,Additional Notes ,# of letters, Appendix ,Sources of Text,
Burne-Jones,Coley,,Edward,Sir,edward_burne_jones.png,https://en.wikipedia.org/wiki/Edward_Burne-Jones,,,x,,,,Semi-regular,,,,,44,,,"I, lix, V, 3, 45, 57, 77, 106, 143, 246, GE on his art, 390-1; rising Celebrity, VI, 229; 348,   364, GE takes Frau Wagner to see, 368, 371; 415, VII, 16,53, GE wants to see, 146; Annunciation, 158; brings GE photos, 234; GE sees for last time, 263; 299 ",,
Burton,,,Frederic,,frederic_burton.png,Our files,,,x,,,,Regular,,,,30,45,,,"III,  128;  IV,  20,  30-1,  79,  115,   GE
sends Romola to, 125; 135, goes to Italy with   GE,   147,   148,   150-2;   physical
deformity,  157;  GE's portrait  by, 167;
185,  195,  215,  266,  in  Ireland, 49!1-4;
V, 5, Ill, 44, 45, at Naples, 70; 120, 238,
261, 414, VI, 360
",,
Call,Mark Willis,,Wathen,,,,,,x,1817,1890,,,,,,,,,,,,
Carlyle,,,Thomas,,thomas_carlyle.png,https://en.wikipedia.org/wiki/Thomas_Carlyle,,,x,1795,1881,Scottish novelist and historian,,,,,,,,,"I, xliii, lix, Chartism, 71_; Sartor  Resartus, I, 122_, III, 23_;  I,  162,  171,  252, on  Louis   Philippe,
253; and  Emerson,  271,  372;  274, 345,
361, and  WR,  366;  369 Life  of Sterling,
370_, 378; 371, on Kossuth, 373; recom_ mends Browning for WR, 376; II, 23, 69, and Chapman, 92; 114, 139, French Revolution, 143, 238_; GHL art. (Fra_ ser's, Dec. 1858), App. n;  and  GHL, II,  176-8;  in   Weimar,  177;  179,   on
Varnhagen, 185; GHL visits, 295; Oli_ ver Cromwell, 330_, 358; Frederick the Great, 412, III, 23_, V, 117; Past and Present, II, 415; 425-6, Latter-Day Pamphlets, II, 441_, III, 466_;  III,  7, and Thackeray, 8; 9, 17-9, 20, 37, GHL
calls on, 102, 435, 450; IV, 65, 203,  290,
469, Heroes and Hero-Worship, V, 49_; rhetorical style, V, 422; VI, 60, GE rev. Ballantyne's selections (Leader, 27 Oct. 1855), App. I
",,
Cash,Sibree,,Mary',,,,,,x,,,figure out correct name,,,,,,,,,,,
Cash,,,John (Sibree?),,,,,,x,,,figure out correct name,,,,,,,,,,,
Chapman,,,John ,,john_chapman.png,Our files,,,x,1821,1894,Requested Review for the Westminster from GE; Housed GE in 1851; Hosted frequent paries,,,,,19,49-51,,,"I, xi, xiv, xv, xliv, xlv, I, liv, lvii, account of, lix-lxi; lxx, lxxv, 299, visits Brays, 337; 353, 364, 370, 375,11,3, 6, 14, 35, 38, 50, 63, 72, 99, 101, 107, 108, chases thief, 122; HO, knows neither good English nor German, 141; 143,   147, 151, leases 43 Blandford Sq., 157; Julia Smith to lodge with, 165; 174, 191, lungs affected, 196, 197, 198, 200, 259, 271, 287-8, stout, coarser, 382-3; 431, moves to Albion St., 438,  482, Ill, 7, 49, Ill, 71, 310, 329, 142 Strand, takes boarders at, I, lx, 256, 306, 332, 334-5; GE at, 337; Jan. 1851-Oct. 1853, 341-11, 1I8; I, 342, 11, 7, 8, lI, 21, 45, 68, 89, 93, 98, Chap-man leaves, 151; Ill, 254 publisher, I, 280, 321, 338, 344, 11, 109, 120, 217, sells business, IV, 10; attacks Booksellers Association, monop-oly of, 11, 8, 18, 21, 23, An Analytical Catalogue ot Mr. Chap man's Publica-tions, I, 348, 11 39, gives GE catalogues, 40 Westminster Review, buys, I, 349; ed., 354-6; 359, 363, 366, 369, 378, 11, 4, 57, 79, 92,  95, GE writes ""Mde. de Sable,"" 172; 187, 189, cannot afford to pay GE for ed., 127-8; rivalry of Na-tional, 201; 257-8, 261, 397-8, 420-1, his arts. in, 205, 220, 238, 456; revs. of Adam and Mill, IV, 26 finances, I, 374, 11, 21-2, 24,  29, 31, 36, 43, 44,  46, 51, 53, 54, 62, 67, wants '1200 now, 67; 70, 162, insolvent, J. Parkes on, 163; forming a co., Ill, 238; J. Martineau threatens bankruptcy, 11, 489; sells to Manwaring, 111,310, IV, 10 medical practice, C. studies medicine, 11, 228-9, 238, 260; takes M.D. at St. Andrews, 385 GE and Chapman, C. pub. Strauss tr., I, 175,  196, 212, 214,  224, 231; sells books to GE, 227, 232; GE spends 2 weeks at 142 Strand, 337; returns, 341; 345, 346-7, 348, 350; GE corrects Co's letter, 351; advises C. on WR, 351-3; C. found holding GE's hand, 354; 373, 376, 11, 6, 9, GE ""a wretched help-mate,"" 48; 53-4, 65-6, 68, sorry for C., 80; 82, GE determined to leave, 83; 84,98, GE's Idea ot a Future Lite, 100, 130; C. in GE's room, 132; pub.Feuerbach tr.. 128. 130. 137. 152; GE moves to another room. 93; moves to Cambridge St ._ 119; 123.   127. GE in-tercedes for GHL. 133; 164.  175. GE confides her relation with GHL to C ._ 179. 181-2. 183; 188.  196. GE criticizes C.'s WR art ._ 205-9; 232.  261. C. wit-nesses GE's will. 288; offers GE 12 g. a sheet for arts ._ 289; 290. 377. 385. 401. GE refuses to write Newman art ._ 426-7; GE reads proof of his ""Medical Re-form."" 456; 471. 485. sorry for his pov-erty. 486. 489; C. learns authorship of Scenes from Spencer. 494; GE ends relations with. 505. Ill. 3-4; GHL de-nies GE wrote Adam, 12-13 others: Mme Bodichon. 11. 255. 351; Bray. I. 371. 11. 55. 90. 489; Combe. I. 372. 11. 82-3; Courtauld. 70--1. 79; Sara Hennell. I. 343.11. 377.472-3. 489. IV, 10--11; Eliza Lynn, lodges with. I, 225. dispute over Realities, 337. 344. 346; H. Martineau. 360--1,11. 17, 180.225,490; Elisabeth Tilley. I, 348 ",,
Chapman,Brewitt,,Susanna,,,,,,x,,,,,,,,,,,,,,
Combe,,,George,,multiple options - see source,https://en.wikipedia.org/wiki/George_Combe,,,x,,,,,,,,59,,,,"I, 193, Elements of Phrenology, I, 232-,352,359,361,365,374, asks GE about T. Hunt, 11, 12; and mesmerism, 17,22; 23, calls on GE, 33, 49, 54,  56, 58, GE visits in Edinburgh, 59-62; ""an apostle,"" earnest, 61; 72, GE owes 2 letters, 98; GE dines with, 102; 104-6, C. invites GE to go abroad, 108; 113,  116, invites GE to Edinburgh, 117; 135, 137, C. visits Brays, 155; 162, offended by GE's union with GHL, 183, 214; GE cannot accept his views on phrenology, 210; 219, 222, 257, admires GHL's ""Dwarfs and Giants,"" 264; dies, 479; Ill, 169, V, 322 Westminster Review, 1st subscriber and 1st adv., I, 369; 372, 11, 31, 37, 39, 43, 48, 11, 80, 82,  83, ",,
Congreve,,,Richard,,,,,,x,,,GE intended to meet in Switzerland (1859),,,,,x (52),61,,,"account of, I, lxi; on GE's Positivism, lxii; 242, withdraws from Leader, 353; Bray tells GE about, 11, 500; takes pupils at Wandsworth; not poor as Bray thinks, Ill, 16; meets GE and GHL, 26-7, 32; happy with, 53; 62, 68-9, not man to be free and easy with, 70; 115-6, 197, GE and GHL spend Christmas with, 238; 287, 330, 349,   353, 441, 460, IV, 16, pupil commits suicide, 52; 67, has sciatica, 71; 78, 83, goes to Italy, 107; Ill, 115, 136, GE sees his photo in Comte house, 177; 178, 179, 182,  195, 201, 206, 214, gives GE Tableau syn-thetique, 227; 293, 294, 298, 324,  333, 367, 474, cares for Edger girls, 476; 476, 482, on Spanish Gypsy, 496; an-swers Huxley on Comte, V, 26; 37, 238, 263, 342, 401, 426, VI, 302, at Witley, VII, 192; calls on GE,234; 64,260,296, lunches at Cheyne Walk, 344-5 Harrison and Congreve, I, lxvii, lxviii, V, 75, medical study, Ill, 180, 467, IV, 105, works in hospital at Bradford, 200; passes medical exams, 207-8; admitted M.R.C.P., 277 Religion of Humanity, I, lxii, C. lectures to Positivist community, Ill, 288; 18 in audience, 293; GE contrib-utes to, IV, 174; Sunday lectures in Bouverie St., 360, 363; GE will not go to without GHL, 413, 498; C. performs 1st Positivist marriage, V, 163 writings, The Catechism Of Positive Religion, Il, 456, The Roman Empire Of the West, Ill, 101"", tr. Vo!. IV, of Comte's Systeme de politique positive, 227, Mr. Broadhead and the Anony-mous Press, 378"", Ireland, 430"" ",,
Congreve,Bury,,Maria,,,,,,x,1846,1915,Childhood friend of GE; once neighbors in Wandsworth (1859),,,,,52,61-62,,,"I, lxi-lxiii, calls on GE, Ill, 26; 32, 53, GE's extraordinary influence on, 62; 68-9, Sara must not ask to let her house, 70; Barbara to sleep there, 79; 101, 112, 115-6, GE on, 120; 180, GHL calls on, 197; 227, GE and GHL spend Christmas with, 238; 286-8,  292-3, 295, calls on Mrs. Bell, 303-4; 324, visits the Cloughs, 330; 337,  349, GE invites to spend night, 353; 363, 376, 440-1, 439, at Boulogne, 460; visits GE, 467; IV, 5-6, 16, 60, 71, 77, 78, 83, 105, goes to Italy, 107; 111, 115-6, 127, 136, 137-8, 160, 163, spends weekend with GE, 166; 167, 171, 173, spends weekend, 174; 176-7, 178, GE spends 2 nights with, 179,  182, GE invites to party, 191; GE dines with, 195; 199,200, nurses sister in fever, 206; 207, GE sends books to, 209; 227-8, 269, 278-9 293,   298, 324, 332-4, 344, 349, 378, 410, 415, 423, 429, 430,474, comes to lunch, 476; gives GE medallion of Comte, 482,  487, V, 25-6, 40, dines with GE, 50, 75, 86-7, 97, 124, 145, looks stronger, 163; 177, 238, 250, 264,   288,   291, 305, accompanies Mrs. Geddes to India, 342; at San Remo, 401, 412; 425-6, 454, VI, 19, 83, VII, 21, 60, 64, 117,  124, GE gives Theo-phrastus, 151; 159-60, at Witley, 192; 223, 246,   258, 260, CLL to tell her of GE's marriage, 267; 269, GE writes that CLL will call, 270; GE's chief anxiety that she is not too much pained by marriage, 277; no word from, 282; bearing up, I, Ixii; a loving though brief letter from, VII, 288; GE wants account of CLL's interview with, 289; GE explains her marriage to, 295-6; 325, 331-2, lunches at Cheyne Walk,344-5 ",,
Cross,,,John Walter,,john_cross.png,Our files,,,x,,,"GE/GHL's banker, married GE (1880)",Semi-regular,,,,"70, 71, 75",76-78,,,"I, lxiii-lxiv, same motto as GE, 73; acquires cast of GE's head from Bray, 178; buys copy of D'Albert portrait, 330; 303, 11, 37, banker in New York, IV, 393; V, 137,  171, at Priory, 204, 215; ""Nephew Johnnie,"" 301; GE reads his paper on New York, 302; 310, 333, house-hunt-ing for GE, 340; 352, 363, at Priory, 385; 414, 420, sweet parting words from nephew Johnnie, 434; 446, GE writes on religious conformity, 447; helps GHL buy carriage, 469 VI, 6, 12, 47,  48, 50, 55,  59, 62, 83, takes GE over Bank of England, 91; GE and GHL lunch at his office, 93; on Lord Romilly, 132; 134, 154, gives GE stamp box, 164; proposes trip on Thames, 165; opens new firm, 169; 170, 258, 268, 302, shows GE The Heights at Widey, 313-4; sends GE flowers, 337, 344; 354, 360, 364,  386, at Witley, 396; introduces GE to tennis, 403; gives GE badminton, 415; on Mrs. Cross's illness, 432-3 GHL at his dinner, VII, 20, 62, 64, 71, GE refuses to see, 97; 99, needs his affection, 101-2; GE sees him, 107, 113; 117,  127, GE sends for, 138; grow-ing intimacy with GE, 139-40; at Witley, 159; ""a devoted friend,"" 174 185, 192, dines with Barbara at Widey, 202; 209, ""Best loved and loving one,"" 211-2; invites GE to Weybridge, 218; ""Bester Mann!"" 234-5; ""marriage de-cided,'' 259; Druce his best friend, 266; 268, 269, marries GE, I, xlix, VII, 270; consults Harrison on Positivist view of 2d marriages, 271-2; 275, much younger than GE, 287; R. J. Cross on, 292; has typhoid in Venice, 300-2, 307-8; ""My (Scotch) husband"", 323; cuts trees at Witley, 331-2; oversees moving from Priory, 331, 335, 338; 334, GE de-scribes to Bray, 342; 345, writes Mrs. Burne-Jones on GE's death, 350; alone in this new House, 351 business affairs, manages GE's invest-ments, V, 368, 402, VI, 344, VII, 113, 116; settles GHL's estate, 168 Spencer and, 11, 40, VI, 311, VII, 38 George Eliot's Life, editing, I, x, xii-xvi, xlvii, lxxiii, 27, 59, 212,  214,  226, 270, 335, 357, Spencer on, 11, 40; omits references to Chapman, 65-6; 119; quotes Journal entry as part of letter, 134; 165, 166, 319, Ill, 284, IV, 220, 429, 481, VI, 246, 407, misdates GHL's death, VII, 85 ",,
Cross,Finlay,,Mary,,,,,,x,,,,Semi-regular,,,,"75, 77",,,,"I, lxiii, ""Marie of Villefranche"" (Mac-rnillan's), V, 171'; 215, war relief at Sedan, 312; VI, 7, gives GE vase with paintings from Romola, 47-8, 154, 291, 360, ""Docteur Lavardin,"" 436; Railway Sketches, 436; VII, 38, 63, 64, 159, 162, 218,  234, 246, 270, 278, 295, 296-7, 322 ",,
Cross,,,Eleanor,,,,,,x,1847,1895,,Semi-regular,,,,"75, 77",,,,"I, lxiii, V, 204, 341, 435, 446, sits near GE at Pop concerts, 469; VI, 154, 233, 364, at Witley, 396, VII, 192, 256, 259, 260, 266-7, 273, 270, 296-9, 306, 309, 322, 336,337 ",,
Cross,,,William,,,,,,x,,,,Semi-regular,,,,75,,,,"I, Ixii ",,
Cross,Nightingale,,Florence ,,,,,,x,1857,1915,(Mrs. H. W. Eve),Semi-regular,,,,"75, 77",76,,,"(Mrs. H. W. Eve, 1857-1915), I, lxiii, V,302, 310, 436, VI, 154, 170, 360, VII, 166-7, VII, 256, 259-60, 270, 274,  285, 296-9, 309, 322, 342, 347 ",,
Cross ,Chalmers,,Anna,,,,,,x,1813,1878,,,,,,,,,,,,
Cross',Helen,,Emily,,,,,,x,,,,,,,,"75, 77",,Mrs. Francis Otter,,"VI, 154, VII, 291 see Mrs. Francis Otter",,
D'Albert,Covelle,,Julie,,,,,,x,,,,,,,,,,,,,,
D'Albert-Durade,,,Fran'ois,,,,,,x,,,Housed GE while in Geneva; Friend of GE,,,,,x,79,,,"Alexandre Louis Fran-\;ois (1804-86), account of, I, lxiv; GE lodges with in Geneva, 314-331; suggested traits of Philip Wakem, 314; 4 ft. high, deformed spine, 316; paints. sings, plays piano, 317; takes GE up Petit Saleve, 319; his house, 320; deIi~ cacy and intelligence, 322; paints GE's portrait, 330; takes GE to London. 332; 333, at Coventry, 336 GE writes of her success, Ill, 186-8; can't recognize ""Minie"" in Adam, 2110; GE asks not to write about rev. of her books, 301; GE, GHL, and CLL visi~ 308-9; 314,348,401,413,415--6,425-4; 447-8, IV, 3-5, 14, 32,   37, CLL sta~ with, 46; 59, 93-4, 116-8, 153, 175~ 210-1,310-12, Duke of Weimar writ~ to, 358-9; 418-9, 464--6, V, 134-5, sends Ltiltze to GE, 141-2; 186-7, on Middlemarch, 241-2; and Ritter, 287; 320-1, 392-3, GE hopes but fails to see, 419, 427-8; 432-3, VI, 24, 129-30, 173-4, 276, 427-8, VII, 28, 226-7, sends GE his photo, 256; 333 translates GE's novels, IV, 20-1; shrinks from, then asks to tr. Adam, 111,255; GE authorizes it, 257; delayed, 346; pub., 360; sends Adam to GE, 361-3; GE authorizes tr. of Mill, 309; rough draft, 346-7; 360, more difficult than Adam, 374; titles, IV, 68; pub., sent to GE, 80; Silas, III, 425, IV, 67; has not tr. Scenes, 491; tr. pub., VII, 115; Romola pub., 46-7 ",,
Deutsch,Oscar Menahem,,Emmanuel,,,,,,x,,,,Semi-regular,,,,41,,,,"IV. 266. 336.  364. gives GE cast of Melian Asclepius. 365; art. on Talmud. 384-5. 399; sends Quarterly into 6 eds ._ 409; GE urges aloofness from controversy. 409-10; hears his lecture on Talmud, 440; urges him to trust his call. 446; 448. V, 39. 45, teaches GE [Hebrew]. 73; reads paper on Moabite Stone at Oxford. 100; has cancer. 115-6; GE calls on. 154-5; 160. goes to Italy. 344; on leave in East. 377 ",,
Dickens,,,Charles,,charles_dickens.png,Our files,,,x,,,,Rare celebrity ,,,,70,"95, 96",,,"at Chapman's, 11. 17; his library, 18; 24, and Broad-stairs. 11, 52; buys Gad's Hill Place. 260; Scheffer's portrait of. 280; 418, 429.  432, 468, Ill, 6, 28, 146, 171, 192.Saturday attacks, Press defends, 237; 245, popularity of, 275, IV, 441; Ill, 315, 434, gives up readings, V, 82; dies; never recovered from railway accident, 102; early photo of, 226; VI, 68, 201, 313 GE and, sees at Bookseller's meet-ing, 11, 23-5; on Scenes, believes GE a woman, 423--4, Ill, 65, 115; praises Adam; asks GE to write for All the Year Round, 114-5; dines with GE, 195, 197, 200; writes GE about pub. Mill in All the Year Round, 203-5; that fallen angel, 205; on Newby, 210-ll; lunches with GE, V, 81-2; his pur-suit of loud effects and money, VI, 23 GHL and, meets, 1838, I, lxviii, Ill, 197; on Newby's methods, Ill, 211; on spontaneous combustion, 393; walks with, IV, 18; tells GHL his dreams of Miss Napier and railway wreck, IV, 266-7; GHL's ""Dickens in Relation to Criticism"" (Fortnightly), V, 226; VI, 28-9 others: Blackwood, 11, 428; Ill, 261, V, 331; J. Forster, VI, 15; Lytton, Ill, 468; H. Martineau attacks, I1, 225; Trollope, IV, 8 works mentioned, David Copperfield,I, 365"", 11, 52"", Ill, 344; Dombey and Son, 11, 11"", Ill, 247, 351; Nicholas Nickleby, 172"",223, VII, 17; Old Curiosity Shop, GHL abominates Nell, V, 268; Oliver Twist, Ill, 31""; Martin Chuzzlewit, I, 164, 225, 337""; ""Mrs. Lirriper's Lodgings,"" IV, 120; Pickwick Papers, I, 29, V, 196, 464; A Tale of Two Cities serialized, Ill, 203; presented to GE, 261; Uncommercial Traveller, VI, 171; pub. in parts, V, 184-6; sale of cheap eds., 307; VII, 385",,
Druce ,,,Elsie',,,,,,x,,,,,,,,,,,,"V,  37,  155,  352,  VI, 5, 39, 105,  VII,  266, 811, 316, 339",,
Espinasse,,,Francis,,,,,,x,,,,,,,,,,,,,,
Evans,Pearson,,Isaac,,isaac_evans.png,Our files,,Immediate Family,x,,,Brother of GE,,,,,,"110, 111",,,"I, xlix, lxv, lxvii, 3, 4, takes GE to London, 6; 7, 13, 24, impatient of GE's Evangelicalism, 25; 29, 42, 50, 57, 60, 68, takes GE to FoleshiIl, 89; married, 93, 97, 98, 112; ""schooled"" GE, 129; thinks GE treated harshly, 132; GE visits at Griff, 133; calms father during ""holy war,"" 134; dislikes Bray's influence, 156-7; 201, 258, tells father he may die suddenly, 272; 298, 307, 330, 336, Chrissey and, 11, 73, 97, 134, 336; quarrels with GE, 75; 178, sends GE word about income, 184; 188, 197, sends order and kind letter, 202; 317, 320, GE writes she has changed her name, 331; 333, 342, has lawyer answer he's hurt by GE's se-crecy, 346; 349, 364, insists Chrissey stop writing GE, 398, Ill, 26; says no one but GE could write Adam, 98; 99, 224, his daughter calls on GE, VI, 45; 278, GE sends love to, VII, 105; breaks long silence, 280, his letter moves GE, 285; her affection unbroken, 287'",,
Evans,,,Harriet,,,,,,x,,,,,,,,,,,,,,
Evans,,,Elizabeth,,,,,,x,,,,,,,,,,,,,,
Evans,,,Sara,,,,,,x,,,,,,,,,,,,,,
Evans,,,Samuel,Mr.,,,,,x,,,GE's uncle,,,,,,111,,,"I, 1xvi, 14, 15, 19, 83, has a son Joseph, ll3 ll2; GE 'visits at 'Wirksworth, 53; '61, 73-74,83, II2, disapproves of GE's new views, 138; Seth Bede not portrait 'of, ' ' ' ' ' III, 155, '158-9; '174-5'",,
Evans,,,Robert,,,,,,x,,,GE's Father,,,,,,,,,,,
Evans,,,Robert,,,,,,x,,,GE's half brother,,,,,,"112, 113",,,"I,1xv, 1xvii, I13, 258-9, 272, 284, 333, co-trustee of GE's funds, II, 178; dies, IV, 130; GE's earliest memory, 133",,
Fields,Adams,,Annie,,annie_fields.png,https://en.wikipedia.org/wiki/Annie_Adams_Fields,,,x,,,,,,,,,,,,,,
Gaskell,Cleghorn,,Elizabeth,,elizabeth_gaskell.png,https://en.wikipedia.org/wiki/Elizabeth_Gaskell,,,x,,,signatory of Barbara Leigh Smith Bodichon,,,,,,"135, 136",,,"II, 112, '225, 'suspected 'of 'writing Adam, compliments 'GE, 'III, '74, ' '76; 180, 'and H. Martineau, '201; 'on ' 'GE, 226; dies, IV, 208; VI, 4Life ' of ' Charlotte ' Bronte, libelous passage ' removed, II, !119; 'rev. ' Dallas (Maga), II, '!122-3; 'GE 'on, '330, !158_; !1!17, III, 220GE 'on, II, 86; Ruth, 93_, '96; Cran- ford, !110-ll_, 'III, '198_; Mary 'Barton, III, 198-9_; Sylvia's Lovers, IV, 79_GHL ' and, ' meets ' C. ' Bronte ' at ' Mrs. Gaskell's, II, 91; ' sends ' her ' his ' Bronte letters, 'II, '263; ' writes ' her ' about Life, !115-6_; ""Ruth and Viliette"" (WR, Apr. 1853), 9!1, 96-7'",,
Harrison,,,Ethel,,ethel_harrison.png,https://en.wikipedia.org/wiki/Ethel_Bertha_Harrison,Public domain,,x,,,Wife of dedicated Positivist ,,,,,,,,,"I, lxviii, 'engaged, 'V, '42; '145, '263-4, 'GE recommends 'Mary 'Dowling 'to, ' 331; 333, 341, VI, 126, 142, 396, 398, VII, 58, 129, 151-2, 254, 261, 271'",,
Harrison,,,Frederic,,frederic_harrison.png,https://en.wikipedia.org/wiki/File:Photo_of_Frederic_Harrison.jpg,Public domain,,x,,,Dedicated Positivist ,Semi-regular,,,,,155,,,"'account 'of, 'I, 'lxvii- lxviii; III, 238, rev. Essays and Reviews (WR), 353; IV, 71, 227-8, 301_, '343-5,413, '438, '446, V, Ill, engaged 'to 'Ethel Harrison, 'V, '41-2; '43, 'does 'not 'accept Positivism 'as 'a 'religion, '75-6; 'and 'GE, 145, '238, 264, 333, 341, 385, 'VI, ' '126, 142, '147-8, '148-9, '149-50, '151-2, 364, 396, '398, 'at 'Spencer's 'picnic, 'VII, 38; 129, 227-8, '254, '260, 274, '277, his 'let- ters moral stimulus to GE, 152 correspondence 'with ' GE, 'on 'legal 'aspects 'of Felix, IV, '214-65; 'writes 'At- torney ' 'General's ' opinion, ' '259, '261; trial ' scene, ' 260; ' reads ' proof, ' 262; shocked ' by ' Harold's ' words ' to ' Mrs. Transome, 265; GE gives copy of Felix, 284; 'law 'in Felix challenged 'and 'de- fended, '342; 'outlines 'plan ' 'for 'Positiv- ist 'novel, 'IV, '284-9, '448; 'GE 'on, '295, 300, VII, 152; GE sends Spanish Gypsy to, ' IV, '447-8, ' 483-85; ' GE ' ' consults about 'law 'in Deronda, VI, '100, '105, II0-1; ' 'asks ' 'GE ' 'to ' 'write ' 'Positivist prayers, ' 387, ' 439; ' on Theophrastus, VII, 168; 'writes 'Cross 'on 2d 'marriages, 271-2 on GHL, I, lxix, (Academy), 'VII, 156; before Metaphysical Society, VII, 161; Spencer, II,40; Wordsworth, 261-2 Fortnightly arts., ""The 'Iron-Masters' Trade-Union"" (15 May 1865), 'IV, 192;""Industrial Co-operation"" ' ' (I ' ' Jan.1866), '214; '""Culture: 'A 'Dialogue"" (1Nov. 1867), 395; ""The Positivist 'Prob ' lem,"" (Nov. 1869), V, 75, 469-93; '""Bis- marckism"" (Dec. 1870), 125; GE agrees with ' his ' ""Religion ' of ' ' 'Inhumanity"" Gune 1873), V, 421-2",,
Helps,,,Arthur,Sir,arthur_helps.png,https://en.wikipedia.org/wiki/File:ArthurHelps.jpg,Public domain,,x,,,Future clerk of the Privy Council; facilitated Lewes's writng projects; Invited him to Hampshire for Christmas; GHL leaves GE on Christmas for Helps,,,,,,,,,"V,  398,  VI,  32,  !15, 129, 149, 194,  261, VII, 310 GHL  rev. Friends  in Council   (British   Quarterly July 1847), App. 11; GE  dines    with,    II,   135-6; spends  day  with  GE  and  GHL  in  Wei- mar, 174; GHL  explains    his    position, 176;   179,  197,  253,  280,  finds  ""Amos"" clever, 294;  416,  418-9,  478,  490, calls on  GE,  III, 360; on Romola, IV, 75; bankrupt  in  panic,  loses.  even  his li- brary,  IV, 375; sends  GE  Queen  Vic- toria's  Leaves   from  the   Journal, IV, 417;  V,  3ll-2,  and  vivisection,  V,  398; dies, VI, 129 GHL  visits  at  Vernon  Hill,  II,    150, 224, 281, 415, 512",,
Helps,,,Alice,,,,,,x,,,Daughter of Arthur Helps; Became regular at the Priory,,,,,41,,,,"Ruskin    teaches    painting, II,  422; V, 45,  311,  398, buys  cloak  for GE,  VI, 32;  35, gives  Queen  GE-GHL autograph,   129;   149,   194-5,   261, onDeronda, 304;  364, VII, 21, 259,  310",,
